Cluster,Direction,Target,Source,Value
0,RNA -> Niche,Atp1a2,Bcl2l12,0.28348722859847797
0,RNA -> Niche,Atp1a2,Calml4,0.29876523246642883
0,RNA -> Niche,Atp1a2,Ccl17,0.3003030622932305
0,RNA -> Niche,Atp1a2,Col15a1,0.3709653796272506
0,RNA -> Niche,Atp1a2,Gm42418,0.44605626921935526
0,RNA -> Niche,Atp1a2,Hmox1,0.1881701126225856
0,RNA -> Niche,Atp1a2,Ifi27l2b,0.21195668347095767
0,RNA -> Niche,Atp1a2,Ifit2,0.1695390918006808
0,RNA -> Niche,Atp1a2,Ighg1,0.3867907913129937
0,RNA -> Niche,Atp1a2,Igkc,0.271369637093969
0,RNA -> Niche,Atp1a2,Iglc3,0.4114155673154076
0,RNA -> Niche,Atp1a2,Mgat3,0.23274820017404066
0,RNA -> Niche,Atp1a2,Muc5ac,0.23458501025415693
0,RNA -> Niche,Atp1a2,Pclaf,0.3324682826799137
0,RNA -> Niche,Atp1a2,Scgb1a1,0.31347174300632796
0,RNA -> Niche,Atp1a2,Sell,0.3451883400246792
0,RNA -> Niche,Atp1a2,Tagln,0.26940547586148755
0,RNA -> Niche,Atp1a2,Tff1,0.9038656846208911
0,RNA -> Niche,Atp1a2,Thbs3,0.3093008865560572
0,RNA -> Niche,Atp1a2,Xab2,0.2665736191799597
0,RNA -> Niche,Calml4,Bcl2l12,0.4174560885120514
0,RNA -> Niche,Calml4,Calml4,0.812426800663746
0,RNA -> Niche,Calml4,Ccl17,0.7686137848787197
0,RNA -> Niche,Calml4,Col15a1,0.38144691269421477
0,RNA -> Niche,Calml4,Gm42418,0.5589435243618462
0,RNA -> Niche,Calml4,Hmox1,0.4602451038044865
0,RNA -> Niche,Calml4,Ifi27l2b,0.3330492646529957
0,RNA -> Niche,Calml4,Ifit2,0.6079080342291417
0,RNA -> Niche,Calml4,Ighg1,0.6678380385960092
0,RNA -> Niche,Calml4,Igkc,0.5564810803912184
0,RNA -> Niche,Calml4,Iglc3,0.3237012171042929
0,RNA -> Niche,Calml4,Mgat3,0.8100348327845786
0,RNA -> Niche,Calml4,Muc5ac,0.6323888088133528
0,RNA -> Niche,Calml4,Pclaf,0.3488332690846586
0,RNA -> Niche,Calml4,Scgb1a1,0.643417329445934
0,RNA -> Niche,Calml4,Sell,0.691769406319998
0,RNA -> Niche,Calml4,Tagln,0.8216379419185221
0,RNA -> Niche,Calml4,Tff1,0.5906714711643841
0,RNA -> Niche,Calml4,Thbs3,0.3894368409604587
0,RNA -> Niche,Calml4,Xab2,0.3565892153492973
0,RNA -> Niche,Ccl17,Bcl2l12,0.6536872955563995
0,RNA -> Niche,Ccl17,Calml4,0.7495725785598752
0,RNA -> Niche,Ccl17,Ccl17,0.874594973612553
0,RNA -> Niche,Ccl17,Col15a1,0.6869240468907072
0,RNA -> Niche,Ccl17,Gm42418,0.8130217724132396
0,RNA -> Niche,Ccl17,Hmox1,0.7783791345229538
0,RNA -> Niche,Ccl17,Ifi27l2b,0.41605714857969517
0,RNA -> Niche,Ccl17,Ifit2,0.5130014788642656
0,RNA -> Niche,Ccl17,Ighg1,0.7113032392360795
0,RNA -> Niche,Ccl17,Igkc,0.8616609578063195
0,RNA -> Niche,Ccl17,Iglc3,0.533796474098415
0,RNA -> Niche,Ccl17,Mgat3,0.77484494303401
0,RNA -> Niche,Ccl17,Muc5ac,0.8624175143854546
0,RNA -> Niche,Ccl17,Pclaf,0.7183021313579062
0,RNA -> Niche,Ccl17,Scgb1a1,0.6480128884710719
0,RNA -> Niche,Ccl17,Sell,0.7224646124160996
0,RNA -> Niche,Ccl17,Tagln,0.9999999999999999
0,RNA -> Niche,Ccl17,Tff1,0.628164023111028
0,RNA -> Niche,Ccl17,Thbs3,0.5662178859216745
0,RNA -> Niche,Ccl17,Xab2,0.5954000032874917
0,RNA -> Niche,Chka,Bcl2l12,0.60200265764633
0,RNA -> Niche,Chka,Calml4,0.6681991457643276
0,RNA -> Niche,Chka,Ccl17,0.5269787297136904
0,RNA -> Niche,Chka,Col15a1,0.3332823160505478
0,RNA -> Niche,Chka,Gm42418,1.0
0,RNA -> Niche,Chka,Hmox1,0.6124103156361848
0,RNA -> Niche,Chka,Ifi27l2b,0.4901157596901397
0,RNA -> Niche,Chka,Ifit2,0.344328500000388
0,RNA -> Niche,Chka,Ighg1,0.38393010102711456
0,RNA -> Niche,Chka,Igkc,0.5772352932892602
0,RNA -> Niche,Chka,Iglc3,0.40042615195357223
0,RNA -> Niche,Chka,Mgat3,0.7664844386266602
0,RNA -> Niche,Chka,Muc5ac,0.681635239773516
0,RNA -> Niche,Chka,Pclaf,0.5142149286704504
0,RNA -> Niche,Chka,Scgb1a1,0.4249821112627451
0,RNA -> Niche,Chka,Sell,0.44355954024363825
0,RNA -> Niche,Chka,Tagln,0.5033708790875971
0,RNA -> Niche,Chka,Tff1,0.5473381406317389
0,RNA -> Niche,Chka,Thbs3,0.3136835108273722
0,RNA -> Niche,Chka,Xab2,0.4462192367924364
0,RNA -> Niche,Col15a1,Bcl2l12,0.5627746386878807
0,RNA -> Niche,Col15a1,Calml4,0.4005680409184673
0,RNA -> Niche,Col15a1,Ccl17,0.7265145358409018
0,RNA -> Niche,Col15a1,Col15a1,0.8011872241142166
0,RNA -> Niche,Col15a1,Gm42418,0.7082733646327938
0,RNA -> Niche,Col15a1,Hmox1,0.7104709198549948
0,RNA -> Niche,Col15a1,Ifi27l2b,0.2538518696698824
0,RNA -> Niche,Col15a1,Ifit2,0.5097278310537252
0,RNA -> Niche,Col15a1,Ighg1,0.7720614653745845
0,RNA -> Niche,Col15a1,Igkc,0.8652515559159402
0,RNA -> Niche,Col15a1,Iglc3,0.5953518231658717
0,RNA -> Niche,Col15a1,Mgat3,0.4753905819262955
0,RNA -> Niche,Col15a1,Muc5ac,0.6912430309106886
0,RNA -> Niche,Col15a1,Pclaf,0.7150976424741093
0,RNA -> Niche,Col15a1,Scgb1a1,0.7173177110619346
0,RNA -> Niche,Col15a1,Sell,0.534418071068464
0,RNA -> Niche,Col15a1,Tagln,0.928656384087618
0,RNA -> Niche,Col15a1,Tff1,0.6237938787747449
0,RNA -> Niche,Col15a1,Thbs3,0.6427548238183591
0,RNA -> Niche,Col15a1,Xab2,0.417230229127003
0,RNA -> Niche,Fmn1,Bcl2l12,0.5068723644158583
0,RNA -> Niche,Fmn1,Calml4,0.6143033925574116
0,RNA -> Niche,Fmn1,Ccl17,0.7701047834093206
0,RNA -> Niche,Fmn1,Col15a1,0.5391348566638611
0,RNA -> Niche,Fmn1,Gm42418,0.7587289164766226
0,RNA -> Niche,Fmn1,Hmox1,0.754950949338054
0,RNA -> Niche,Fmn1,Ifi27l2b,0.4899124852345601
0,RNA -> Niche,Fmn1,Ifit2,0.6465035512044122
0,RNA -> Niche,Fmn1,Ighg1,0.9033372492681021
0,RNA -> Niche,Fmn1,Igkc,0.8280182227217384
0,RNA -> Niche,Fmn1,Iglc3,0.8005650393897465
0,RNA -> Niche,Fmn1,Mgat3,0.7228359020272703
0,RNA -> Niche,Fmn1,Muc5ac,0.6512093189298991
0,RNA -> Niche,Fmn1,Pclaf,0.5703557753534273
0,RNA -> Niche,Fmn1,Scgb1a1,0.6433578221508074
0,RNA -> Niche,Fmn1,Sell,0.6782174315495864
0,RNA -> Niche,Fmn1,Tagln,0.7026990113040601
0,RNA -> Niche,Fmn1,Tff1,0.9408512716955625
0,RNA -> Niche,Fmn1,Thbs3,0.7517652387233748
0,RNA -> Niche,Fmn1,Xab2,0.5388005776598657
0,RNA -> Niche,Garem1,Bcl2l12,0.6018721570070876
0,RNA -> Niche,Garem1,Calml4,0.6610065553544194
0,RNA -> Niche,Garem1,Ccl17,0.8517230636771084
0,RNA -> Niche,Garem1,Col15a1,0.7246341751424253
0,RNA -> Niche,Garem1,Gm42418,0.7535541839407646
0,RNA -> Niche,Garem1,Hmox1,0.969062202723972
0,RNA -> Niche,Garem1,Ifi27l2b,0.41170625202779876
0,RNA -> Niche,Garem1,Ifit2,0.7498241836367541
0,RNA -> Niche,Garem1,Ighg1,0.9145477986447502
0,RNA -> Niche,Garem1,Igkc,0.9791778278821042
0,RNA -> Niche,Garem1,Iglc3,0.7964471075294881
0,RNA -> Niche,Garem1,Mgat3,0.6841773982287155
0,RNA -> Niche,Garem1,Muc5ac,0.5463408069426667
0,RNA -> Niche,Garem1,Pclaf,0.6188706911286708
0,RNA -> Niche,Garem1,Scgb1a1,0.6565413941319308
0,RNA -> Niche,Garem1,Sell,0.7740511021279044
0,RNA -> Niche,Garem1,Tagln,0.9868115002198246
0,RNA -> Niche,Garem1,Tff1,0.8275682928987753
0,RNA -> Niche,Garem1,Thbs3,1.0
0,RNA -> Niche,Garem1,Xab2,0.5430801116062334
0,RNA -> Niche,Hist2h3c2,Bcl2l12,0.27165884610082336
0,RNA -> Niche,Hist2h3c2,Calml4,0.5535391720291875
0,RNA -> Niche,Hist2h3c2,Ccl17,0.8984426761227347
0,RNA -> Niche,Hist2h3c2,Col15a1,0.3366398250532754
0,RNA -> Niche,Hist2h3c2,Gm42418,0.30642092964239065
0,RNA -> Niche,Hist2h3c2,Hmox1,0.5048600450715527
0,RNA -> Niche,Hist2h3c2,Ifi27l2b,0.2635259466388771
0,RNA -> Niche,Hist2h3c2,Ifit2,0.8336647898150572
0,RNA -> Niche,Hist2h3c2,Ighg1,0.8845334219714613
0,RNA -> Niche,Hist2h3c2,Igkc,0.5570812437014567
0,RNA -> Niche,Hist2h3c2,Iglc3,0.691497575203924
0,RNA -> Niche,Hist2h3c2,Mgat3,0.6088085792094526
0,RNA -> Niche,Hist2h3c2,Muc5ac,0.38035528386638884
0,RNA -> Niche,Hist2h3c2,Pclaf,0.37980940994227114
0,RNA -> Niche,Hist2h3c2,Scgb1a1,0.7940205314498471
0,RNA -> Niche,Hist2h3c2,Sell,0.8913525553915923
0,RNA -> Niche,Hist2h3c2,Tagln,0.7874670377761068
0,RNA -> Niche,Hist2h3c2,Tff1,0.4506358717822626
0,RNA -> Niche,Hist2h3c2,Thbs3,0.8272100747767148
0,RNA -> Niche,Hist2h3c2,Xab2,0.3886271165993219
0,RNA -> Niche,Hmga2,Bcl2l12,0.5320151696942241
0,RNA -> Niche,Hmga2,Calml4,0.4819612551645524
0,RNA -> Niche,Hmga2,Ccl17,0.5830246180448749
0,RNA -> Niche,Hmga2,Col15a1,0.28039224339034075
0,RNA -> Niche,Hmga2,Gm42418,0.713733958678017
0,RNA -> Niche,Hmga2,Hmox1,0.42095215697857563
0,RNA -> Niche,Hmga2,Ifi27l2b,0.2198560922238149
0,RNA -> Niche,Hmga2,Ifit2,0.31499052519485116
0,RNA -> Niche,Hmga2,Ighg1,0.4316646045182445
0,RNA -> Niche,Hmga2,Igkc,0.5065463429735052
0,RNA -> Niche,Hmga2,Iglc3,0.2566028055318503
0,RNA -> Niche,Hmga2,Mgat3,0.607609689456108
0,RNA -> Niche,Hmga2,Muc5ac,0.6063036251070791
0,RNA -> Niche,Hmga2,Pclaf,0.40558582500507473
0,RNA -> Niche,Hmga2,Scgb1a1,0.3039316919909733
0,RNA -> Niche,Hmga2,Sell,0.4358199676405338
0,RNA -> Niche,Hmga2,Tagln,0.5965807273868797
0,RNA -> Niche,Hmga2,Tff1,0.4912783373653954
0,RNA -> Niche,Hmga2,Thbs3,0.2246032558274338
0,RNA -> Niche,Hmga2,Xab2,0.3165275513087649
0,RNA -> Niche,Ifi213,Bcl2l12,0.4211327596074934
0,RNA -> Niche,Ifi213,Calml4,0.8843126944754838
0,RNA -> Niche,Ifi213,Ccl17,0.8871274671454885
0,RNA -> Niche,Ifi213,Col15a1,0.3731903574330318
0,RNA -> Niche,Ifi213,Gm42418,0.5653167647429219
0,RNA -> Niche,Ifi213,Hmox1,0.6241860231809235
0,RNA -> Niche,Ifi213,Ifi27l2b,0.672730242322937
0,RNA -> Niche,Ifi213,Ifit2,0.7158164966323112
0,RNA -> Niche,Ifi213,Ighg1,0.8194174572309003
0,RNA -> Niche,Ifi213,Igkc,0.6505824434984349
0,RNA -> Niche,Ifi213,Iglc3,0.7073496390582985
0,RNA -> Niche,Ifi213,Mgat3,0.8958056375123898
0,RNA -> Niche,Ifi213,Muc5ac,0.4901022828567987
0,RNA -> Niche,Ifi213,Pclaf,0.4652564222564574
0,RNA -> Niche,Ifi213,Scgb1a1,0.7428171671723138
0,RNA -> Niche,Ifi213,Sell,1.0
0,RNA -> Niche,Ifi213,Tagln,0.7861611468423596
0,RNA -> Niche,Ifi213,Tff1,0.46246577300938213
0,RNA -> Niche,Ifi213,Thbs3,0.5281224600354901
0,RNA -> Niche,Ifi213,Xab2,0.7374924211279436
0,RNA -> Niche,Igha,Bcl2l12,0.3224960543876942
0,RNA -> Niche,Igha,Calml4,0.3148519659518072
0,RNA -> Niche,Igha,Ccl17,0.4598182149278169
0,RNA -> Niche,Igha,Col15a1,0.537353155094106
0,RNA -> Niche,Igha,Gm42418,0.5101261231449974
0,RNA -> Niche,Igha,Hmox1,0.5219542344843379
0,RNA -> Niche,Igha,Ifi27l2b,0.2967289130142053
0,RNA -> Niche,Igha,Ifit2,0.451186598112249
0,RNA -> Niche,Igha,Ighg1,0.7305566390716911
0,RNA -> Niche,Igha,Igkc,0.9320739106226007
0,RNA -> Niche,Igha,Iglc3,0.8031918262532575
0,RNA -> Niche,Igha,Mgat3,0.30386239451901936
0,RNA -> Niche,Igha,Muc5ac,0.3413936524313665
0,RNA -> Niche,Igha,Pclaf,0.30310665971782585
0,RNA -> Niche,Igha,Scgb1a1,0.43735857190456023
0,RNA -> Niche,Igha,Sell,0.4154283823205534
0,RNA -> Niche,Igha,Tagln,0.5949952825625888
0,RNA -> Niche,Igha,Tff1,0.25946361776499227
0,RNA -> Niche,Igha,Thbs3,0.4906952545839658
0,RNA -> Niche,Igha,Xab2,0.3278768592579118
0,RNA -> Niche,Ighg1,Bcl2l12,0.27772292919611197
0,RNA -> Niche,Ighg1,Calml4,0.4398193411739322
0,RNA -> Niche,Ighg1,Ccl17,0.29276580916590883
0,RNA -> Niche,Ighg1,Col15a1,0.2762161051242938
0,RNA -> Niche,Ighg1,Gm42418,0.21283925167649823
0,RNA -> Niche,Ighg1,Hmox1,0.20399464319196176
0,RNA -> Niche,Ighg1,Ifi27l2b,0.3139416052461452
0,RNA -> Niche,Ighg1,Ifit2,0.2928210340164454
0,RNA -> Niche,Ighg1,Ighg1,0.36526478058784506
0,RNA -> Niche,Ighg1,Igkc,0.46572483941558057
0,RNA -> Niche,Ighg1,Iglc3,0.3754613727688532
0,RNA -> Niche,Ighg1,Mgat3,0.311203667550191
0,RNA -> Niche,Ighg1,Muc5ac,0.3727534987290742
0,RNA -> Niche,Ighg1,Pclaf,0.3633916826559056
0,RNA -> Niche,Ighg1,Scgb1a1,0.2615160693571614
0,RNA -> Niche,Ighg1,Sell,0.3056233935750614
0,RNA -> Niche,Ighg1,Tagln,0.3002672065697949
0,RNA -> Niche,Ighg1,Tff1,0.895719964666929
0,RNA -> Niche,Ighg1,Thbs3,0.40884486769446177
0,RNA -> Niche,Ighg1,Xab2,0.20792870332998353
0,RNA -> Niche,Igkc,Bcl2l12,0.3665140198661384
0,RNA -> Niche,Igkc,Calml4,0.6336359745417498
0,RNA -> Niche,Igkc,Ccl17,0.6971854381457137
0,RNA -> Niche,Igkc,Col15a1,0.5130101854805189
0,RNA -> Niche,Igkc,Gm42418,0.6078700138868169
0,RNA -> Niche,Igkc,Hmox1,0.5974934178035444
0,RNA -> Niche,Igkc,Ifi27l2b,0.3572626015240627
0,RNA -> Niche,Igkc,Ifit2,0.5872721389595627
0,RNA -> Niche,Igkc,Ighg1,0.9196732984603414
0,RNA -> Niche,Igkc,Igkc,1.0
0,RNA -> Niche,Igkc,Iglc3,0.8012056553579471
0,RNA -> Niche,Igkc,Mgat3,0.5258170687311278
0,RNA -> Niche,Igkc,Muc5ac,0.40840532064480073
0,RNA -> Niche,Igkc,Pclaf,0.3040767271356163
0,RNA -> Niche,Igkc,Scgb1a1,0.5219461883674273
0,RNA -> Niche,Igkc,Sell,0.6342434831064324
0,RNA -> Niche,Igkc,Tagln,0.8450568409749116
0,RNA -> Niche,Igkc,Tff1,0.38443844857511345
0,RNA -> Niche,Igkc,Thbs3,0.5009497745969461
0,RNA -> Niche,Igkc,Xab2,0.3460856726208247
0,RNA -> Niche,Iglc3,Bcl2l12,0.22859470668804283
0,RNA -> Niche,Iglc3,Calml4,0.24582747188418944
0,RNA -> Niche,Iglc3,Ccl17,0.36808584753922235
0,RNA -> Niche,Iglc3,Col15a1,0.30651147175987903
0,RNA -> Niche,Iglc3,Gm42418,0.31173416723193353
0,RNA -> Niche,Iglc3,Hmox1,0.4461532331591256
0,RNA -> Niche,Iglc3,Ifi27l2b,0.18744783130131232
0,RNA -> Niche,Iglc3,Ifit2,0.46295650838953983
0,RNA -> Niche,Iglc3,Ighg1,0.6128231479410146
0,RNA -> Niche,Iglc3,Igkc,0.9230794713772341
0,RNA -> Niche,Iglc3,Iglc3,0.7749138844484695
0,RNA -> Niche,Iglc3,Mgat3,0.31572734319820955
0,RNA -> Niche,Iglc3,Muc5ac,0.14516799858133442
0,RNA -> Niche,Iglc3,Pclaf,0.2029028405402067
0,RNA -> Niche,Iglc3,Scgb1a1,0.31397261057922426
0,RNA -> Niche,Iglc3,Sell,0.31943834439465035
0,RNA -> Niche,Iglc3,Tagln,0.38759973865481834
0,RNA -> Niche,Iglc3,Tff1,0.1315486185354424
0,RNA -> Niche,Iglc3,Thbs3,0.3923519724247007
0,RNA -> Niche,Iglc3,Xab2,0.2501058561387989
0,RNA -> Niche,Muc5ac,Bcl2l12,0.6608527362739696
0,RNA -> Niche,Muc5ac,Calml4,0.8968731593198347
0,RNA -> Niche,Muc5ac,Ccl17,0.8138526549533753
0,RNA -> Niche,Muc5ac,Col15a1,0.34976120248150555
0,RNA -> Niche,Muc5ac,Gm42418,0.7902992242869423
0,RNA -> Niche,Muc5ac,Hmox1,0.5969824899243684
0,RNA -> Niche,Muc5ac,Ifi27l2b,0.4362631830506455
0,RNA -> Niche,Muc5ac,Ifit2,0.554286125418116
0,RNA -> Niche,Muc5ac,Ighg1,0.5494797007067842
0,RNA -> Niche,Muc5ac,Igkc,0.6033951260597025
0,RNA -> Niche,Muc5ac,Iglc3,0.40110721263407967
0,RNA -> Niche,Muc5ac,Mgat3,0.99444057765159
0,RNA -> Niche,Muc5ac,Muc5ac,0.8955960413518381
0,RNA -> Niche,Muc5ac,Pclaf,0.39160650228327487
0,RNA -> Niche,Muc5ac,Scgb1a1,0.5066978484985952
0,RNA -> Niche,Muc5ac,Sell,0.6677671866225708
0,RNA -> Niche,Muc5ac,Tagln,0.7104704956693391
0,RNA -> Niche,Muc5ac,Tff1,0.7415353749800871
0,RNA -> Niche,Muc5ac,Thbs3,0.36699869683399816
0,RNA -> Niche,Muc5ac,Xab2,0.4212084984257521
0,RNA -> Niche,Mzb1,Bcl2l12,0.29642265998697287
0,RNA -> Niche,Mzb1,Calml4,0.592434764133146
0,RNA -> Niche,Mzb1,Ccl17,0.5373152784869767
0,RNA -> Niche,Mzb1,Col15a1,0.295286059346763
0,RNA -> Niche,Mzb1,Gm42418,0.5563526442192649
0,RNA -> Niche,Mzb1,Hmox1,0.22251103180571716
0,RNA -> Niche,Mzb1,Ifi27l2b,0.22507911556022947
0,RNA -> Niche,Mzb1,Ifit2,0.37313686941200813
0,RNA -> Niche,Mzb1,Ighg1,0.41594143541921813
0,RNA -> Niche,Mzb1,Igkc,0.4092278197235971
0,RNA -> Niche,Mzb1,Iglc3,0.5601718588742418
0,RNA -> Niche,Mzb1,Mgat3,0.4814902174003346
0,RNA -> Niche,Mzb1,Muc5ac,0.5177648818547734
0,RNA -> Niche,Mzb1,Pclaf,0.4331768564376917
0,RNA -> Niche,Mzb1,Scgb1a1,0.5201119246555124
0,RNA -> Niche,Mzb1,Sell,0.4140844841848967
0,RNA -> Niche,Mzb1,Tagln,0.4459347086031504
0,RNA -> Niche,Mzb1,Tff1,0.9999999999999999
0,RNA -> Niche,Mzb1,Thbs3,0.30721195943520013
0,RNA -> Niche,Mzb1,Xab2,0.21453966290791338
0,RNA -> Niche,Prex2,Bcl2l12,0.02975313466130424
0,RNA -> Niche,Prex2,Calml4,0.18465445663238472
0,RNA -> Niche,Prex2,Ccl17,0.2240521725400474
0,RNA -> Niche,Prex2,Col15a1,0.11587575099172354
0,RNA -> Niche,Prex2,Gm42418,0.03874405053652648
0,RNA -> Niche,Prex2,Hmox1,0.07068555328977504
0,RNA -> Niche,Prex2,Ifi27l2b,0.13728624142445284
0,RNA -> Niche,Prex2,Ifit2,0.09227436593951024
0,RNA -> Niche,Prex2,Ighg1,0.14055095700900955
0,RNA -> Niche,Prex2,Igkc,0.18091108602923092
0,RNA -> Niche,Prex2,Iglc3,0.0765431377302954
0,RNA -> Niche,Prex2,Mgat3,0.10420802200766557
0,RNA -> Niche,Prex2,Muc5ac,0.14141974499922375
0,RNA -> Niche,Prex2,Pclaf,0.09364695676087546
0,RNA -> Niche,Prex2,Scgb1a1,0.11561106927247862
0,RNA -> Niche,Prex2,Sell,0.2149920305152487
0,RNA -> Niche,Prex2,Tagln,0.26385690664475003
0,RNA -> Niche,Prex2,Tff1,0.37339289079987076
0,RNA -> Niche,Prex2,Thbs3,0.05682825515065592
0,RNA -> Niche,Prex2,Xab2,0.08828529879507796
0,RNA -> Niche,Rbbp8,Bcl2l12,0.12466956446751402
0,RNA -> Niche,Rbbp8,Calml4,0.3326356147602343
0,RNA -> Niche,Rbbp8,Ccl17,0.21719556944642865
0,RNA -> Niche,Rbbp8,Col15a1,0.1544573875109834
0,RNA -> Niche,Rbbp8,Gm42418,0.20314207258879893
0,RNA -> Niche,Rbbp8,Hmox1,0.1341295566836678
0,RNA -> Niche,Rbbp8,Ifi27l2b,0.24852828521526055
0,RNA -> Niche,Rbbp8,Ifit2,0.17741272241590939
0,RNA -> Niche,Rbbp8,Ighg1,0.305651888075936
0,RNA -> Niche,Rbbp8,Igkc,0.2930329843367784
0,RNA -> Niche,Rbbp8,Iglc3,0.29808249476809007
0,RNA -> Niche,Rbbp8,Mgat3,0.2203532891942765
0,RNA -> Niche,Rbbp8,Muc5ac,0.17019196252978316
0,RNA -> Niche,Rbbp8,Pclaf,0.16400148447032697
0,RNA -> Niche,Rbbp8,Scgb1a1,0.16043520248609885
0,RNA -> Niche,Rbbp8,Sell,0.19846353053514607
0,RNA -> Niche,Rbbp8,Tagln,0.17335636270829285
0,RNA -> Niche,Rbbp8,Tff1,0.4896182349851754
0,RNA -> Niche,Rbbp8,Thbs3,0.1405050403718018
0,RNA -> Niche,Rbbp8,Xab2,0.16112632872698232
0,RNA -> Niche,Slpi,Bcl2l12,0.26005543087656824
0,RNA -> Niche,Slpi,Calml4,0.38600584065743615
0,RNA -> Niche,Slpi,Ccl17,0.5311276036805617
0,RNA -> Niche,Slpi,Col15a1,0.36537607159125235
0,RNA -> Niche,Slpi,Gm42418,0.3894255524529097
0,RNA -> Niche,Slpi,Hmox1,0.5143327932840311
0,RNA -> Niche,Slpi,Ifi27l2b,0.2648042856392602
0,RNA -> Niche,Slpi,Ifit2,0.5480724568177643
0,RNA -> Niche,Slpi,Ighg1,0.7930143600429015
0,RNA -> Niche,Slpi,Igkc,0.9405041888488066
0,RNA -> Niche,Slpi,Iglc3,0.8802157096685506
0,RNA -> Niche,Slpi,Mgat3,0.4577976127076992
0,RNA -> Niche,Slpi,Muc5ac,0.2742315649658758
0,RNA -> Niche,Slpi,Pclaf,0.24896017683281602
0,RNA -> Niche,Slpi,Scgb1a1,0.38777706917275473
0,RNA -> Niche,Slpi,Sell,0.4826107159084898
0,RNA -> Niche,Slpi,Tagln,0.5201317425541597
0,RNA -> Niche,Slpi,Tff1,0.1483129689497001
0,RNA -> Niche,Slpi,Thbs3,0.5506013691911738
0,RNA -> Niche,Slpi,Xab2,0.31884502718435337
0,RNA -> Niche,Tff2,Bcl2l12,0.09103953428668879
0,RNA -> Niche,Tff2,Calml4,0.5848420728482138
0,RNA -> Niche,Tff2,Ccl17,0.27152639691723623
0,RNA -> Niche,Tff2,Col15a1,0.19139963610612568
0,RNA -> Niche,Tff2,Gm42418,0.11492352367979626
0,RNA -> Niche,Tff2,Hmox1,0.08826722483053119
0,RNA -> Niche,Tff2,Ifi27l2b,0.18854101145950072
0,RNA -> Niche,Tff2,Ifit2,0.201232808778784
0,RNA -> Niche,Tff2,Ighg1,0.21617277833293874
0,RNA -> Niche,Tff2,Igkc,0.10411770983257389
0,RNA -> Niche,Tff2,Iglc3,0.13991184575447016
0,RNA -> Niche,Tff2,Mgat3,0.46334632948145754
0,RNA -> Niche,Tff2,Muc5ac,0.12673465231071263
0,RNA -> Niche,Tff2,Pclaf,0.21145397446046088
0,RNA -> Niche,Tff2,Scgb1a1,0.11443390988307357
